"Statistic","Month","Age Group","Sex","Social Welfare Scheme","UNIT","VALUE"
"Persons on Live Register","1967M06","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M06","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M06","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M06","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M06","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M06","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M06","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M06","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M06","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M06","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M06","All ages","Both sexes","All classes","Number","43839"
"Persons on Live Register","1967M06","All ages","Both sexes","Jobseekers allowance applications","Number","18441"
"Persons on Live Register","1967M06","All ages","Both sexes","Jobseekers benefit claims","Number","21797"
"Persons on Live Register","1967M06","All ages","Both sexes","Other registrants","Number","3601"
"Persons on Live Register","1967M06","All ages","Male","All classes","Number","35409"
"Persons on Live Register","1967M06","All ages","Male","Jobseekers allowance applications","Number","17895"
"Persons on Live Register","1967M06","All ages","Male","Jobseekers benefit claims","Number","16290"
"Persons on Live Register","1967M06","All ages","Male","Other registrants","Number","1224"
"Persons on Live Register","1967M06","All ages","Female","All classes","Number","8430"
"Persons on Live Register","1967M06","All ages","Female","Jobseekers allowance applications","Number","546"
"Persons on Live Register","1967M06","All ages","Female","Jobseekers benefit claims","Number","5507"
"Persons on Live Register","1967M06","All ages","Female","Other registrants","Number","2377"
"Persons on Live Register","1967M07","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M07","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M07","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M07","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M07","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M07","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M07","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M07","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M07","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M07","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M07","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M07","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M07","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M07","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M07","All ages","Both sexes","All classes","Number","42394"
"Persons on Live Register","1967M07","All ages","Both sexes","Jobseekers allowance applications","Number","18473"
"Persons on Live Register","1967M07","All ages","Both sexes","Jobseekers benefit claims","Number","20313"
"Persons on Live Register","1967M07","All ages","Both sexes","Other registrants","Number","3608"
"Persons on Live Register","1967M07","All ages","Male","All classes","Number","33725"
"Persons on Live Register","1967M07","All ages","Male","Jobseekers allowance applications","Number","17910"
"Persons on Live Register","1967M07","All ages","Male","Jobseekers benefit claims","Number","14698"
"Persons on Live Register","1967M07","All ages","Male","Other registrants","Number","1117"
"Persons on Live Register","1967M07","All ages","Female","All classes","Number","8669"
"Persons on Live Register","1967M07","All ages","Female","Jobseekers allowance applications","Number","563"
"Persons on Live Register","1967M07","All ages","Female","Jobseekers benefit claims","Number","5615"
"Persons on Live Register","1967M07","All ages","Female","Other registrants","Number","2491"
"Persons on Live Register","1967M08","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M08","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M08","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M08","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M08","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M08","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M08","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M08","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M08","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M08","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M08","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M08","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M08","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M08","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M08","All ages","Both sexes","All classes","Number","43740"
"Persons on Live Register","1967M08","All ages","Both sexes","Jobseekers allowance applications","Number","19255"
"Persons on Live Register","1967M08","All ages","Both sexes","Jobseekers benefit claims","Number","21104"
"Persons on Live Register","1967M08","All ages","Both sexes","Other registrants","Number","3381"
"Persons on Live Register","1967M08","All ages","Male","All classes","Number","35079"
"Persons on Live Register","1967M08","All ages","Male","Jobseekers allowance applications","Number","18701"
"Persons on Live Register","1967M08","All ages","Male","Jobseekers benefit claims","Number","15451"
"Persons on Live Register","1967M08","All ages","Male","Other registrants","Number","927"
"Persons on Live Register","1967M08","All ages","Female","All classes","Number","8661"
"Persons on Live Register","1967M08","All ages","Female","Jobseekers allowance applications","Number","554"
"Persons on Live Register","1967M08","All ages","Female","Jobseekers benefit claims","Number","5653"
"Persons on Live Register","1967M08","All ages","Female","Other registrants","Number","2454"
"Persons on Live Register","1967M09","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M09","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M09","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M09","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M09","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M09","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M09","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M09","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M09","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M09","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M09","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M09","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M09","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M09","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M09","All ages","Both sexes","All classes","Number","42504"
"Persons on Live Register","1967M09","All ages","Both sexes","Jobseekers allowance applications","Number","18999"
"Persons on Live Register","1967M09","All ages","Both sexes","Jobseekers benefit claims","Number","20203"
"Persons on Live Register","1967M09","All ages","Both sexes","Other registrants","Number","3302"
"Persons on Live Register","1967M09","All ages","Male","All classes","Number","34695"
"Persons on Live Register","1967M09","All ages","Male","Jobseekers allowance applications","Number","18469"
"Persons on Live Register","1967M09","All ages","Male","Jobseekers benefit claims","Number","15272"
"Persons on Live Register","1967M09","All ages","Male","Other registrants","Number","954"
"Persons on Live Register","1967M09","All ages","Female","All classes","Number","7809"
"Persons on Live Register","1967M09","All ages","Female","Jobseekers allowance applications","Number","530"
"Persons on Live Register","1967M09","All ages","Female","Jobseekers benefit claims","Number","4931"
"Persons on Live Register","1967M09","All ages","Female","Other registrants","Number","2348"
"Persons on Live Register","1967M10","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M10","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M10","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M10","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M10","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M10","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M10","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M10","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M10","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M10","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M10","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M10","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M10","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M10","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M10","All ages","Both sexes","All classes","Number","47300"
"Persons on Live Register","1967M10","All ages","Both sexes","Jobseekers allowance applications","Number","19501"
"Persons on Live Register","1967M10","All ages","Both sexes","Jobseekers benefit claims","Number","24228"
"Persons on Live Register","1967M10","All ages","Both sexes","Other registrants","Number","3571"
"Persons on Live Register","1967M10","All ages","Male","All classes","Number","37860"
"Persons on Live Register","1967M10","All ages","Male","Jobseekers allowance applications","Number","18945"
"Persons on Live Register","1967M10","All ages","Male","Jobseekers benefit claims","Number","18044"
"Persons on Live Register","1967M10","All ages","Male","Other registrants","Number","871"
"Persons on Live Register","1967M10","All ages","Female","All classes","Number","9440"
